latitude,longitude,id,additionalInfo_0,advice_for_motorists_1,advice_for_motorists_2,attendingGroups_0,attendingGroups_1,attendingGroups_2,system_record_created_at,description_headline,diversions,duration,encodedPolylines_0_coords,encodedPolylines_0_levels,scheduled_end_time,is_resolved/ended,description_summary,is_impacting_network,incidentKind,is_unverified_report,isMajor,isNewIncident,last_updated_at,mainCategory,advice_for_motorists,scheduled_period_0_closureType,scheduled_period_0_direction,scheduled_period_0_finishTime,scheduled_period_0_fromDay,scheduled_period_0_startTime,scheduled_period_0_toDay,PT_impact,roads_affected_0_conditionTendency,roads_affected_0_crossStreet,roads_affected_0_delay,roads_affected_0_impactedLanes_0_affectedDirection,roads_affected_0_impactedLanes_0_closedLanes,roads_affected_0_impactedLanes_0_description,roads_affected_0_impactedLanes_0_extent,roads_affected_0_impactedLanes_0_numberOfLanes,roads_affected_0_impactedLanes_0_roadType,roads_affected_0_locationQualifier,roads_affected_0_mainStreet,roads_affected_0_quadrant,roads_affected_0_queueLength,roads_affected_0_region,roads_affected_0_secondLocation,roads_affected_0_suburb,roads_affected_0_trafficVolume,speedLimit,scheduled_start_time
151.2111,-33.8436,727436,,,,,,,2017-12-04 08:52:47,BREAKDOWN Car, ,None,,,None,True,BREAKDOWN Car - NORTH SYDNEY Warringah Rd approaching Sydney Harbour Tunnel,False,Unplanned,False,False,False,1512338005082,Breakdown, ,,,,,,, ,,Sydney Harbour Tunnel, ,Southbound,1,Lane 1,Lanes closed,2, ,approaching,Warringah Road,,-1,SYD_NORTH, ,North Sydney,Heavy,-1,None
151.16104,-33.9339,727441,,,,,,,2017-12-04 09:46:35,HEAVY TRAFFIC, ,None,,,None,True,HEAVY TRAFFIC - MASCOT Marsh St approaching Sydney Airport International Terminal,False,Unplanned,False,False,False,1512342514220,Heavy traffic, ,,,,,,, ,,Sydney Airport International Terminal, ,Eastbound, , ,Affected, , ,approaching,Marsh Street,,-1,SYD_MET, ,Mascot,Heavy,-1,None
151.12531,-33.78816,727421,,,,,RMS,,2017-12-04 05:16:52,BREAKDOWN Car, ,None,,,None,True,BREAKDOWN Car - NORTH RYDE Epping Rd above Lane Cove Rd,False,Unplanned,False,False,False,1512327589968,Breakdown, ,,,,,,, ,,Lane Cove Road, ,Eastbound,1,Lane 1,Lanes closed,3, ,above,Epping Road,,-1,SYD_NORTH, ,North Ryde,Light,-1,None
151.14483,-33.90075,727423,,,,,,,2017-12-04 06:51:07,TRAFFIC LIGHTS FLASHING YELLOW, ,None,,,None,True,TRAFFIC LIGHTS FLASHING YELLOW - DULWICH HILL New Canterbury Rd at Frazer St,False,Unplanned,False,False,False,1512334970361,Traffic lights flashing yellow, ,,,,,,, ,,Frazer Street,,All directions, , ,Affected, , ,at,New Canterbury Road,,0,SYD_MET, ,Dulwich Hill,,-1,None
151.21396,-33.82967,727444,,,,,,,2017-12-04 10:30:00,BREAKDOWN Car, ,None,,,None,True,BREAKDOWN Car - CAMMERAY Warringah Fwy just past Falcon St,False,Unplanned,True,False,False,1512345907052,Breakdown, ,,,,,,, ,,Falcon Street,,Northbound, , ,Affected, , ,just past,Warringah Freeway,,0,SYD_NORTH, ,Cammeray,,-1,None
150.99551,-33.93077,727426,,,,,,,2017-12-04 07:23:14,ACCIDENT 2 cars, ,None,,,None,True,ACCIDENT 2 cars - MILPERRA Milperra Rd at Nancy Ellis Leebold Dr,False,Unplanned,False,False,False,1512334821961,Accident, ,,,,,,, ,,Nancy Ellis Leebold Drive, ,Eastbound, , ,Affected, , ,at,Milperra Road,,-1,SYD_SOUTH, ,Milperra,Heavy,-1,None
151.69373,-32.92893,727433,,,,,Tow truck,,2017-12-04 08:27:29,"ACCIDENT Truck, Car", ,None,,,None,True,"ACCIDENT Truck, Car - NEW LAMBTON HEIGHTS Lookout Rd just past McCaffrey Dr",False,Unplanned,False,False,False,1512341210904,Accident, ,,,,,,, ,,McCaffrey Drive, ,Northbound,1,Bus lane,Lanes closed,3, ,just past,Lookout Road,,-1,REG_NORTH, ,New Lambton Heights,Heavy,-1,None
151.12085,-33.72206,727425, ,Avoid the area,Use alternative route, ,,,2017-12-04 07:16:13,EMERGENCY ROAD WORKS Earlier burst water main, ,None,z{xlEsojy[~KyF^WFQLi@bC_^,AA@A@A,None,False,EMERGENCY ROAD WORKS Earlier burst water main - WARRAWEE Millewa Ave and Bangalla St between Cleveland St and Young St,False,Unplanned,False,False,False,1512503580714,Emergency road works,The road is expected to be closed until Friday for repairs. <br/>,,,,,,, ,,Cleveland Street,,Both directions, , ,Closed, ,Road,between,Millewa Avenue and Bangalla Street,,0,SYD_NORTH,Young Street,Warrawee,,-1,None
151.04221,-33.84506,727422,,,,,,,2017-12-04 06:40:57,BREAKDOWN Car, ,None,,,None,True,BREAKDOWN Car - AUBURN Parramatta Rd at Silverwater Rd,False,Unplanned,False,False,False,1512331175597,Breakdown, ,,,,,,, ,,Silverwater Road,,Westbound,1,Lane 2,Lanes closed,4, ,at,Parramatta Road,,0,SYD_MET, ,Auburn,,-1,None
151.21223,-33.84998,727430,,,,,,,2017-12-04 07:47:21,BREAKDOWN Mini bus, ,None,,,None,True,BREAKDOWN Mini bus - MILSONS POINT Sydney Harbour Bridge,False,Unplanned,False,False,False,1512336095589,Breakdown, ,,,,,,, ,, ,,Southbound, ,Lane 8,Lanes closed, , ,on,Sydney Harbour Bridge,,0,SYD_NORTH, ,Milsons Point,,-1,None
